SubOf	WP	OldCode	ชื่องาน
	WP-01	WP-263	งานเตรียมพื้นที่ก่อนการก่อสร้าง
WP-01	WP-01-01	WP-001	งานหาพิกัดและระดับพื้น (พื้นอ้างอิง พื้นดินเดิม หัวเสาเข็ม) พร้อมทำหลักชั่วคราว
WP-01	WP-01-02	WP-002	งานทำไฟฟ้าชั่วคราว
WP-01	WP-01-03	WP-307	งานทำสโตร์ชั่วคราว
WP-01	WP-01-04	WP-003	งานทำประปาชั่วคราว
WP-01	WP-01-05	WP-004	งานติดตั้งป้ายการก่อสร้าง
WP-01	WP-01-06	WP-005	งานทำรั้วชั่วคราว
WP-01	WP-01-07	WP-006	งานตีฝังระดับและกริตไลน์
WP-01	WP-01-08	WP-007	งานติดตั้งกล้องวงจรปิด
WP-01	WP-01-09	WP-308	งานติดตั้งเต้นท์ทำงาน
WP-01	WP-01-10	WP-309	งานติดตั้งที่พักคนงานชั่วคราว
	WP-02	WP-304	งานขุดด้วยแบคโฮช่วงเริ่มโครงการ
WP-02	WP-02-01	WP-375	งานขุดฐานรากอาคารภายใน
WP-02	WP-02-02	WP-020	งานฐานรากบ่อซึม
WP-02	WP-02-03	WP-376	งานขุดฐานรากบ่อบำบัด
WP-02	WP-02-04	WP-377	งานขุดฐานราก Tower
WP-02	WP-02-05	WP-378	งานปรับพื้นลานภายนอก
	WP-03	WP-269	งานลงเสาเข็ม
WP-03	WP-03-01	WP-022	งานเจาะนำเสาเข็มลานโหลด ห้องถังน้ำดี ชุดถังบำบัด
WP-03	WP-03-02	WP-031	งานลงเสาเข็มลานโหลด
WP-03	WP-03-03	WP-032	งานลงเสาเข็มห้องถังน้ำดี
WP-03	WP-03-04	WP-033	งานลงเสาเข็มชุดถังบำบัด
WP-03	WP-03-05	WP-374	งานตัดเสาเข็มลานโหลด ห้องถังน้ำดี ชุดถังบำบัด
	WP-04	WP-265	งานฐานรากและพื้นอาคาร
WP-04	WP-04-01	WP-019	ตัดหัวเสาเข็ม
WP-04	WP-04-02	WP-011	งานผูกเหล็กเสริม Drop Panel
WP-04	WP-04-03	WP-012	งานผูกเหล็กเสริมคานอาคาร (ไม่รวมห้องเย็น)
WP-04	WP-04-04	WP-013	งานผูกเหล็กเสริมคานห้องเย็น
WP-04	WP-04-05	WP-310	งานผูกเหล็กเสริมฐานรากตอม่ออาคาร
WP-04	WP-04-06	WP-014	งานผูกเหล็กเสริมตอม่ออาคาร
WP-04	WP-04-07	WP-034	งานเททรายบดอัดลีนพื้นคานอาคาร
WP-04	WP-04-08	WP-035	งานเททรายบดอัดลีนพื้นคานห้องเย็น
WP-04	WP-04-09	WP-036	งานเททรายบดอัดลีนพื้นฐานรากตอม่ออาคาร
WP-04	WP-04-10	WP-037	งานเททรายบดอัดลีนพื้น Drop Panel อาคาร
WP-04	WP-04-11	WP-041	งานเข้าแบบเทลีนพื้นคานอาคาร
WP-04	WP-04-12	WP-042	งานเข้าแบบเทลีนพื้นคานห้องเย็น
WP-04	WP-04-13	WP-043	งานเข้าแบบเทลีนพื้นฐานรากตอม่ออาคาร
WP-04	WP-04-14	WP-044	งานเข้าแบบเทลีนพื้น Drop Panel อาคาร
WP-04	WP-04-15	WP-048	งานเทลีนพื้นคานอาคารพร้อมถอดแบบ
WP-04	WP-04-16	WP-049	งานเทลีนพื้นคานห้องเย็นพร้อมถอดแบบ
WP-04	WP-04-17	WP-050	งานเทลีนพื้นฐานรากตอม่ออาคารพร้อมถอดแบบ
WP-04	WP-04-18	WP-051	งานเทลีนพื้น Drop Panel อาคารพร้อมถอดแบบ
WP-04	WP-04-19	WP-056	งานวางเหล็กเสริมคานห้องเย็น
WP-04	WP-04-20	WP-057	งานวางเหล็กเสริมฐานรากตอม่ออาคาร
WP-04	WP-04-21	WP-060	งานเข้าแบบคานห้องเย็น
WP-04	WP-04-22	WP-061	งานเข้าแบบฐานรากตอม่ออาคาร
WP-04	WP-04-23	WP-064	งานเทคอนกรีตคานห้องเย็น
WP-04	WP-04-24	WP-065	งานเทคอนกรีตฐานรากตอม่ออาคาร
WP-04	WP-04-25	WP-068	งานถอดแบบคานห้องเย็น
WP-04	WP-04-26	WP-069	งานถอดแบบฐานรากตอม่ออาคาร
WP-04	WP-04-27	WP-076	งานปรับระดับทรายบดอัดพื้นห้องเย็น
WP-04	WP-04-28	WP-077	งานปูพลาสติกชีทพื้นห้องเย็น
WP-04	WP-04-29	WP-078	งานวางไวร์เมชพื้นห้องเย็น
WP-04	WP-04-30	WP-079	งานเข้าแบบพื้นห้องเย็น
WP-04	WP-04-31	WP-080	งานเทคอนกรีตพื้นห้องเย็น
WP-04	WP-04-32	WP-081	งานวางเหล็กเสริมคานอาคาร
WP-04	WP-04-33	WP-082	งานวางเหล็กเสริมตอม่ออาคาร
WP-04	WP-04-34	WP-083	งานวางเหล็กเสริม Drop Panel
WP-04	WP-04-35	WP-085	งานเข้าแบบ Drop Panel
WP-04	WP-04-36	WP-086	งานระดับทรายบดอัดพื้นอาคาร
WP-04	WP-04-37	WP-087	งานปูพลาสติกชีทพื้นอาคาร
WP-04	WP-04-38	WP-088	งานวางไวร์เมชพื้นอาคาร
WP-04	WP-04-39	WP-089	งานเข้าแบบคานอาคาร
WP-04	WP-04-40	WP-090	งานเข้าแบบตอม่ออาคาร
WP-04	WP-04-41	WP-092	งานเข้าแบบพื้นอาคาร
WP-04	WP-04-42	WP-094	งานเทคอนกรีตคานอาคาร
WP-04	WP-04-43	WP-095	งานเทคอนกรีตตอม่ออาคาร
WP-04	WP-04-44	WP-096	งานเทคอนกรีต Drop Panel
WP-04	WP-04-45	WP-098	งานเทคอนกรีตพื้นอาคาร
WP-04	WP-04-46	WP-101	งานขัดผิวพื้นคอนกรีตพื้นอาคาร
WP-04	WP-04-47	WP-099	งานถอดแบบคานอาคาร
WP-04	WP-04-48	WP-100	งานถอดแบบตอม่ออาคาร
WP-04	WP-04-49	WP-103	งานถอดแบบพื้นอาคาร
	WP-05	WP-294	งานท่อน้ำเสียภายในอาคาร
WP-05	WP-05-01	WP-023	งานวางท่อน้ำเสียภายในอาคาร
	WP-06	WP-267	งานชุดบ่อบำบัด
WP-06	WP-06-01	WP-015	งานผูกเหล็กเสริมฐานรากชุดบ่อบำบัด
WP-06	WP-06-02	WP-038	งานเททรายบดอัดลีนพื้นชุดบ่อบำบัด
WP-06	WP-06-03	WP-045	งานเข้าแบบเทลีนพื้นชุดบ่อบำบัด
WP-06	WP-06-04	WP-052	งานเทลีนพื้นชุดบ่อบำบัดพร้อมถอดแบบ
WP-06	WP-06-05	WP-058	งานวางเหล็กเสริมชุดบ่อบำบัด
WP-06	WP-06-06	WP-062	งานเข้าแบบชุดบ่อบำบัด
WP-06	WP-06-07	WP-066	งานเทคอนกรีตชุดบ่อบำบัด
WP-06	WP-06-08	WP-070	งานถอดแบบชุดบ่อบำบัด
WP-06	WP-06-09	WP-072	งานวางชุดถังบำบัด
WP-06	WP-06-10	WP-073	งานต่อท่อชุดถังบำบัด
WP-06	WP-06-11	WP-114	งานก่อ ยกระดับฝาชุดบ่อบำบัด
WP-06	WP-06-12	WP-115	งานทาสีชุดฝาบ่อบำบัด
WP-06	WP-06-13	WP-262	งานเติมจุลินทรีย์ชุดถังบำบัด
	WP-07	WP-270	งานบ่อซึม
WP-07	WP-07-01	WP-040	งานเททรายบดอัดลีนพื้นบ่อซึม
WP-07	WP-07-02	WP-047	งานเข้าแบบเทลีนพื้นบ่อซึม
WP-07	WP-07-03	WP-054	งานเทลีนพื้นบ่อซึมพร้อมถอดแบบ
WP-07	WP-07-04	WP-055	งานลงบ่อซึม
WP-07	WP-07-05	WP-074	งานต่อท่อบ่อซึม
WP-07	WP-07-06	WP-116	งานก่อ ยกระดับฝาบ่อซึม
WP-07	WP-07-07	WP-328	งานติดตั้ง FCO ฝาบ่อซึม
	WP-08	WP-264	งานโครงเหล็กอาคาร โครงหลังคา โครงป้ายไวนิล และโครงรางน้ำ
WP-08	WP-08-01	WP-008	งานทาสีรองพื้นเหล็กรูปพรรณโครงทรัสหลังคา
WP-08	WP-08-02	WP-025	งานทาสีรองพื้นเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านหน้า
WP-08	WP-08-03	WP-028	งานทาสีรองพื้นเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำตรงกลาง
WP-08	WP-08-04	WP-018	งานทาสีจริงเหล็กรูปพรรณโครงทรัสหลังคา
WP-08	WP-08-05	WP-026	งานทาสีจริงเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านหน้า
WP-08	WP-08-06	WP-029	งานทาสีจริงเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำตรงกลาง
WP-08	WP-08-07	WP-024	งานประกอบโครงทรัสหลังคา
WP-08	WP-08-08	WP-027	งานประกอบโครงซัพพอร์ตรางน้ำดานหน้า
WP-08	WP-08-09	WP-030	งานประกอบโครงซัพพอร์ตรางน้ำตรงกลาง
WP-08	WP-08-10	WP-093	งานติดตั้งแพลทเสาอาคาร
WP-08	WP-08-11	WP-180	งานตั้งเสาอาคาร
WP-08	WP-08-12	WP-181	งานติดตั้งโครงทรัสหลังคา
WP-08	WP-08-13	WP-185	งานติดตั้งโครงซัพพอร์ตรางน้ำด้านหน้า
WP-08	WP-08-14	WP-186	งานติดตั้งโครงซัพพอร์ตรางน้ำด้านหลัง
WP-08	WP-08-15	WP-187	งานติดตั้งรางน้ำ
WP-08	WP-08-16	WP-188	งานติดตั้งหัวกะโหลกรางน้ำ
	WP-09	WP-268	งานฐานราก Tower
WP-09	WP-09-01	WP-016	งานผูกเหล็กเสริมฐานราก Tower
WP-09	WP-09-02	WP-311	งานผูกเหล็กเสริมคาน Tower
WP-09	WP-09-03	WP-017	งานผูกเหล็กเสริมตอม่อ Tower
WP-09	WP-09-04	WP-039	งานเททรายบดอัดลีนพื้นฐานราก Tower
WP-09	WP-09-05	WP-046	งานเข้าแบบเทลีนพื้นฐานราก Tower
WP-09	WP-09-06	WP-053	งานเทลีนพื้นฐานราก Tower พร้อมถอดแบบ
WP-09	WP-09-07	WP-059	งานวางเหล็กเสริมฐานราก Tower
WP-09	WP-09-08	WP-063	งานเข้าแบบฐานราก Tower
WP-09	WP-09-09	WP-067	งานเทคอนกรีตฐานราก Tower
WP-09	WP-09-10	WP-071	งานถอดแบบฐานราก Tower
WP-09	WP-09-11	WP-312	งานวางเหล็กเสริมคาน Tower
WP-09	WP-09-12	WP-313	งานเข้าแบบคาน Tower
WP-09	WP-09-13	WP-314	งานเทคอนกรีตคาน Tower
WP-09	WP-09-14	WP-315	งานถอดแบบคาน Tower
WP-09	WP-09-15	WP-084	งานวางเหล็กเสริมตอม่อ Tower
WP-09	WP-09-16	WP-091	งานเข้าแบบตอม่อ Tower
WP-09	WP-09-17	WP-097	งานเทคอนกรีตตอม่อ Tower
WP-09	WP-09-18	WP-102	งานถอดแบบตอม่อ Tower
	WP-10	WP-316	งานเสา Tower
WP-10	WP-10-01	WP-317	งานทาสีรองพื้นขาเสา Tower
WP-10	WP-10-02	WP-318	งานทาสีจริงขาเสา Tower
WP-10	WP-10-03	WP-319	งานเชื่อม ต่อขาเสา Tower
WP-10	WP-10-04	WP-320	งานเชื่อมบันได Tower
WP-10	WP-10-05	WP-321	งานเชื่อมแพลทรับป้าย Tower
WP-10	WP-10-06	WP-322	งานตั้งแพลทรับเสา Tower
WP-10	WP-10-07	WP-323	งานยกติดตั้งเสา Tower
	WP-11	WP-266	งานบ่อพักน้ำฝน
WP-11	WP-11-01	WP-009	งานหล่อบ่อพักน้ำฝน
WP-11	WP-11-02	WP-010	งานหล่อฝาบ่อพักน้ำฝน
WP-11	WP-11-03	WP-104	งานขุดเพื่อวางท่อและบ่อพักรอบอาคาร
WP-11	WP-11-04	WP-105	งานวางบ่อพักด้านหลังอาคาร
WP-11	WP-11-05	WP-106	งานต่อท่อบ่อพักด้านหลังอาคาร
WP-11	WP-11-06	WP-107	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านหลัง
WP-11	WP-11-07	WP-109	งานติดตั้งท่อรางน้ำลงบ่อพักด้านหลัง
WP-11	WP-11-08	WP-324	งานต่อท่อรางน้ำเข้าบ่อพักด้านหลัง
WP-11	WP-11-09	WP-122	งานวางบ่อพักด้านซ้าย (มองเข้าหน้าอาคาร)
WP-11	WP-11-10	WP-123	งานต่อท่อบ่อพักด้านซ้าย (มองเข้าหน้าอาคาร)
WP-11	WP-11-11	WP-124	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านซ้าย (มองเข้าหน้าอาคาร)
WP-11	WP-11-12	WP-126	งานติดตั้งท่อรางน้ำลงบ่อพักด้านซ้าย (มองเข้าหน้าอาคาร)
WP-11	WP-11-13	WP-325	งานต่อท่อรางน้ำเข้าบ่อพักด้านซ้าย (มองเข้าหน้าอาคาร)
WP-11	WP-11-14	WP-131	งานวางบ่อพักด้านขวา (มองเข้าหน้าอาคาร)
WP-11	WP-11-15	WP-132	งานต่อท่อบ่อพักด้านขวา (มองเข้าหน้าอาคาร)
WP-11	WP-11-16	WP-133	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านขวา (มองเข้าหน้าอาคาร)
WP-11	WP-11-17	WP-135	งานติดตั้งท่อรางน้ำลงบ่อพักด้านขวา (มองเข้าหน้าอาคาร)
WP-11	WP-11-18	WP-326	งานต่อท่อรางน้ำเข้าบ่อพักด้านขวา (มองเข้าหน้าอาคาร)
WP-11	WP-11-19	WP-140	งานวางบ่อพักด้านหน้า
WP-11	WP-11-20	WP-141	งานต่อท่อบ่อพักด้านหน้า
WP-11	WP-11-21	WP-142	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านหน้า
WP-11	WP-11-22	WP-327	งานต่อท่อรางน้ำเข้าบ่อพักด้านหน้า
	WP-12	WP-271	งานระบบไฟฟ้าเมนภายในอาคาร
WP-12	WP-12-01	WP-075	งานติดตั้งกราวด์
WP-12	WP-12-02	WP-182	งานวางท่อไฟใต้พื้นอาคารก่อนปรับพื้นเพื่อปูกระเบื้อง
WP-12	WP-12-03	WP-225	งานติดตั้งท่อร้อยสายไฟภายในอาคาร
WP-12	WP-12-04	WP-226	งานเดินสายไฟเมนภายในอาคาร
	WP-13	WP-272	งานระบบไฟฟ้าเมนภายนอกอาคาร
WP-13	WP-13-01	WP-240	งานเดินสายไฟเมนภายนอกอาคาร
	WP-14	WP-273	งานปลั๊กและสวิตช์ไฟภายในอาคาร
WP-14	WP-14-01	WP-160	งานทาสีรองพื้นเหล็กรูปพรรณรางซัพพอร์ทปลั๊กไฟตู้แช่
WP-14	WP-14-02	WP-161	งานทาสีจริงเหล็กรูปพรรณรางซัพพอร์ทปลั๊กไฟตู้แช่
WP-14	WP-14-03	WP-165	งานทาสีรองพื้นเหล็กรูปพรรณซัพพอร์ตไฟสปอร์ตไลท์
WP-14	WP-14-04	WP-166	งานทาสีจริงเหล็กรูปพรรณเสาไฟทางซัพพอร์ตไฟสปอร์ตไลท์
WP-14	WP-14-05	WP-162	งานประกอบรางซัพพอร์ทปลั๊กไฟตู้แช่
WP-14	WP-14-06	WP-201	งานติดตั้งรางซัพพอร์ทปลั๊กไฟตู้แช่
WP-14	WP-14-07	WP-227	งานติดตั้งปลั๊กไฟและสวิทช์พร้อมติดสติ๊กเกอร์
	WP-15	WP-274	งานปลั๊กและสวิตช์ไฟภายนอกอาคาร
WP-15	WP-15-01	WP-163	งานทาสีรองพื้นเหล็กรูปพรรณเสาไฟทาง
WP-15	WP-15-02	WP-164	งานทาสีจริงเหล็กรูปพรรณเสาไฟทาง
WP-15	WP-15-03	WP-195	งานติดตั้งซัพพอร์ตไฟสปอร์ตไลท์
WP-15	WP-15-04	WP-241	งานติดตั้งเสาไฟทาง
WP-15	WP-15-05	WP-248	งานติดตั้งตู้ไฟร้านเช่า
	WP-16	WP-275	งานไฟส่องสว่างบริเวณอาคาร
WP-16	WP-16-01	WP-258	งานติดตั้งไฟส่องสว่างบริเวณอาคาร
	WP-17	WP-276	งานไฟส่องสว่างภายนอกอาคาร
WP-17	WP-17-01	WP-259	งานติดตั้งไฟทางส่องสว่าง
	WP-18	WP-277	งานพื้นลานด้านหน้า
